INBR,Name,Name kurz,DS100,Kategorie
8102020,Gmünd NÖ Böhmzeil,Gmünd NÖ Böhmzeil,PABGK,6
8007114,Gnarrenburg,Gnarrenburg,AGNB,6
8070036,Gnarrenburg Nord,Gnarrenburg Nord,AGNBN,6
8100857,Gniebing,Gniebing,OAGNI,6
5100013,Gniezno,Gniezno,XPGN,6
8007143,Gochsheim(Baden),Gochsheim(Baden),RGOM,6
8270480,Goebelsmühle,Goebelsmühle,XLGB,6
8400253,Goes,Goes,ONG,6
8700536,Golfe-Juan-Vallauris,Golfe-Juan-Vallauris,OFGOF,6
8100041,Golling-Abtenau,Golling-Abtenau,XAGA,6
8100255,Gols,Gols,OAGOL,6
8070400,Gomadingen,Gomadingen,TGOM,6
8070011,Gondelsheim Schlossstadion,Gondelsheim Schlossstadion,RGOS,6
8002326,Gondelsheim(Baden),Gondelsheim(Baden),RGO,6
8400254,Goor,Goor,ONGO,6
8507474,Goppenstein,Goppenstein,XSGO,6
8505402,Gordola,Gordola,OSGOL,6
8400256,Gorinchem,Gorinchem,ONGN,6
5101325,Gorzelin,Gorzelin,OPGZL,6
5100014,Gorzow Wielkopolski,Gorzow Wielkopolski,XPGW,6
8506210,Gossau SG,Gossau SG,XSGG,6
372506,Gottesauer Platz/BGV - Karlsruhe,Gottesauer Platz/BGV - Karlsruhe,PQKGP,6
8506163,Gottlieben (Schifflände),Gottlieben (Schifflände),XSGL,6
8400258,Gouda,Gouda,XNG,6
8400257,Gouda Goverwelle,Gouda Goverwelle,ONGG,6
8800060,Gouvy,Gouvy,XBGY,6
8002332,Goßfelden,Goßfelden,FGOF,6
8100182,Grafendorf bei Hartberg,Grafendorf bei Hartberg,OAGD,6
8007339,Grafenwiesen,Grafenwiesen,NGFW,6
8701209,Graffenstaden,Graffenstaden,XFGR,6
8100369,Gramatneusiedl,Gramatneusiedl,XAGR,6
8400259,Gramsbergen,Gramsbergen,ONGRA,6
7100075,Granollers,Granollers,XEGR,6
8705486,Grasse,Grasse,PFAGT,6
8100370,Gratwein-Gratkorn,Gratwein-Gratkorn,XAGG,6
8070660,Grauschwitz Flocke,Grauschwitz Flocke,DGFL,6
8103490,Graz Don Bosco (Bahnsteige 1-2),Graz Don Bosco (Bahnsteige 1-2),PALVO,6
8100173,Graz Hbf,Graz Hbf,XAG,1
8100371,Graz Ostbahnhof-Messe,Graz Ostbahnhof-Messe,XAGO,6
8103487,Graz-Liebenau Murpark,Graz-Liebenau Murpark,OAGLM,6
5101130,Grebocice,Grebocice,OPGEB,6
8600771,Gredstedbro st,Gredstedbro st,XDGB,6
8500159,Grenchen Nord,Grenchen Nord,XSGRN,6
8700034,Grenoble,Grenoble,XFG,6
8703396,Grenoble Universités Gières,Grenoble Universités Gières,OFGEY,6
8702403,Gresy-sur-Isere,Gresy-sur-Isere,XFGS,6
8701175,Gretz-Armainvilliers,Gretz-Armainvilliers,XFGZ,6
8100258,Gries am Brenner,Gries am Brenner,XAGRB,6
8100892,Gries im Pinzgau,Gries im Pinzgau,XAGI,6
8100022,Grieskirchen-Gallspach,Grieskirchen-Gallspach,XAGP,6
8100907,Grieswirt,Grieswirt,OAGWT,6
8400267,Grijpskerk,Grijpskerk,ONGI,6
8800527,Groenendaal,Groenendaal,XBGR,6
8703441,Groisy Thorens la Caille,Groisy Thorens la Caille,OFIRN,6
8400263,Groningen,Groningen,XNGR,6
8400042,Groningen Europapark,Groningen Europapark,PNABA,6
8400264,Groningen Noord,Groningen Noord,ONGRN,6
8400266,Grou-Jirnsum,Grou-Jirnsum,ONGRI,6
8011715,Groß Behnitz,Groß Behnitz,LGBZ,6
8070403,Groß Ippener DHE,Groß Ippener DHE,HGIP,6
8011731,Groß Quassow,Groß Quassow,WGQ,6
8011734,Groß Schönebeck,Groß Schönebeck,BGSK,6
8011741,Großbodungen,Großbodungen,UGBD,6
8007060,Großenaspe,Großenaspe,AGSA,6
8002411,Großenbrode,Großenbrode,AGRO,6
8100839,Großgerungs,Großgerungs,OAGGE,6
8100906,Großweikersdorf,Großweikersdorf,OAGWE,6
230303,Gruiten Bahnhof - Haan,Gruiten Bahnhof - Haan,D230303,6
5100109,Gryfow Sl.,Gryfow Sl.,OPGR,6
8000132,Grävenwiesbach,Grävenwiesbach,FGR,6
8100135,Gröbming,Gröbming,XAGM,6
